event_type,sub_event_type,month,day,event_date,year,actor1,assoc_actor_1,actor2,assoc_actor_2,city,state,fatalities,source,source_scale,major_media,notes,tags
RIOTS,VIOLENT DEMONSTRATION,10,31,2020-10-31,2020,RIOTERS (UNITED STATES),STUDENTS (UNITED STATES); LABOR GROUP (UNITED STATES); TEACHERS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,EVANSTON,ILLINOIS,0,HERALD & REVIEW; FOX32; CBS NEWS,SUBNATIONAL-NATIONAL,YES,"ON 31 OCTOBER 2020, 150 STUDENTS, GRADUATE WORKERS, TEACHERS AND ORGANIZERS FROM THE NORTHWESTERN COMMUNITY NOT COPS MOVEMENT MARCHED IN EVANSTON (ILLINOIS) DEMANDING THAT THE SCHOOL CUT TIES WITH THE CAMPUS POLICE DEPARTMENT. THE DEMONSTRATION TURNED VIOLENT WHEN THEY BROKE WINDOWS, SPRAY-PAINTED GRAFFITI, AND THREW ROCKS AND BRICKS AT OFFICERS. POLICE INTERVENED, USED PEPPER SPRAY AND A ROUND OF PEPPER BALLS ON RIOTERS. ONE STUDENT WAS ARRESTED.",CROWD SIZE=150
RIOTS,VIOLENT DEMONSTRATION,10,31,2020-10-31,2020,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2017-2021),,WASHINGTON DC,DISTRICT OF COLUMBIA,0,WTOP RADIO,SUBNATIONAL,NO,"ON 31 OCTOBER 2020, BETWEEN 20 TO 30 PEOPLE DEMONSTRATED IN WASHINGTON DC (DISTRICT OF COLUMBIA) AGAINST THE DEATH OF KARON HYLTON, A BLACK MAN WHO RECENTLY DIED IN A MOPED CRASH AFTER THE POLICE ATTEMPTED TO PULL HIM OVER. SOME DEMONSTRATORS THREW OBJECTS AT OFFICERS AND AT THE POLICE STATION, AND NINE PEOPLE WERE ARRESTED.",CROWD SIZE=BETWEEN 20 TO 30
RIOTS,VIOLENT DEMONSTRATION,10,31,2020-10-31,2020,RIOTERS (UNITED STATES),LGBTQ+ (UNITED STATES); QANON,RIOTERS (UNITED STATES),,BEVERLY HILLS,CALIFORNIA,0,TWITTER; CBS2 (LOS ANGELES); ABC7 (LOS ANGELES),NEW MEDIA-SUBNATIONAL,NO,"ON 31 OCTOBER 2020, AT LEAST 4000 PEOPLE STAGED A 'FREEDOM RALLY' IN BEVERLY HILLS (CALIFORNIA) IN SUPPORT OF PRESIDENT TRUMP AND AGAINST GOVERNOR NEWSOM. LGBT TRUMP SUPPORTERS WERE PRESENT. APPROXIMATELY 40 DEMONSTRATORS ATTEMPTED TO GET OTHERS TO SIGN A 'QANON OATH.' AN UNREPORTED NUMBER OF ANTI-TRUMP COUNTER DEMONSTRATORS WERE ALSO PRESENT. THERE WAS A VIOLENT FIGHT BETWEEN THE TWO GROUPS. ONE PRO-TRUMP DEMONSTRATOR WAS INJURED AFTER APPROACHING THE COUNTER-DEMONSTRATORS. POLICE OFFICERS IN RIOT GEAR FORMED A LINE BETWEEN THE GROUPS AND DECLARED AN UNLAWFUL ASSEMBLY. POLICE ATTEMPTED TO DISPERSE COUNTER-DEMONSTRATORS WHO RESPONDED BY MOVING CORDONS INTO THE STREET. NO ARRESTS WERE MADE.",COUNTER-DEMONSTRATION; CROWD SIZE=AT LEAST 4000
RIOTS,VIOLENT DEMONSTRATION,10,31,2020-10-31,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,RIOTERS (UNITED STATES),,PITTSBORO,NORTH CAROLINA,0,97.9 THE HILL WCHL; CROWD COUNTING CONSORTIUM,OTHER-SUBNATIONAL,NO,"ON 31 OCTOBER 2020, AROUND 25 PEOPLE WITH CHATHAM TAKES ACTION DEMONSTRATED IN PITTSBORO (NORTH CAROLINA) AGAINST RACISM AND IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT. AROUND 25 MORE PEOPLE COUNTER-DEMONSTRATED IN SUPPORT OF PRESIDENT TRUMP. AT SOME POINT, SOME DEMONSTRATORS ENGAGED IN A FISTFIGHT, WITH BOTH SIDES ALLEGING THE OTHER STARTED FIRST. FURTHER, SOME OF THE TRUMP SUPPORTERS BEAT UP A TRUCK WITH PRO-BIDEN MESSAGING ON IT.",COUNTER-DEMONSTRATION; CROWD SIZE=NEARLY 50
RIOTS,VIOLENT DEMONSTRATION,10,30,2020-10-30,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; TEACHERS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,VANCOUVER,WASHINGTON,0,COLUMBIAN; COUNT LOVE; FOX NEWS; WOWT NBC OMAHA,OTHER-SUBNATIONAL,YES,"ON 30 OCTOBER 2020, HUNDREDS OF PEOPLE HELD A VIGIL IN VANCOUVER (WASHINGTON) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY, SPECIFICALLY THE DEATH OF KEVIN E. PETERSON JR., WHO WAS KILLED IN A POLICE ALTERCATION DURING THE NIGHT OF 29 OCTOBER 2020. SOME OF PETERSON'S TEACHERS ATTENDED THE VIGIL. THE VIGIL WAS MET WITH RIGHT-WING COUNTER DEMONSTRATORS, SOME WITH PRO-DONALD TRUMP FLAGS, AND SOME ARMED WITH FIREARMS. THE COUNTER DEMONSTRATORS SHOUTED AT THOSE WHO WERE DEMONSTRATING AGAINST PETERSON'S DEATH. DURING THE DEMONSTRATIONS TWO SHOTS WERE FIRED, THOUGH WHO FIRED THE SHOTS IS UNCLEAR AND NO INJURIES WERE REPORTED. THE BLM DEMONSTRATORS THEN MARCHED THROUGH DOWNTOWN VANCOUVER, SOME BREAKING WINDOWS AND BURNING FLAGS. POLICE OFFICERS IN RIOT GEAR PREVENTED THEM FROM APPROACHING A FEDERAL BUILDING AND DECLARED AN UNLAWFUL ASSEMBLY. SIX DEMONSTRATORS WERE ARRESTED FOR FAILURE TO DISPERSE.",ARMED; COUNTER-DEMONSTRATION; CROWD SIZE=HUNDREDS
RIOTS,VIOLENT DEMONSTRATION,10,29,2020-10-29,2020,RIOTERS (UNITED STATES),PRO-POLICE GROUP (UNITED STATES); BACK THE BLUE,POLICE FORCES OF THE UNITED STATES (2017-2021),,NORTHAMPTON,MASSACHUSETTS,0,REPUBLICAN (SPRINGFIELD),SUBNATIONAL,NO,"ON 29 OCTOBER 2020, PEOPLE HELD A 'TRUMP/BACK THE BLUE' RALLY IN NORTHAMPTON (MASSACHUSETTS) WHILE OTHERS HELD A DEMONSTRATION 'AGAINST FASCISM AND POLICE BRUTALITY.' THE DEMONSTRATIONS LATER TURNED VIOLENT WHEN A FIGHT BROKE OUT BETWEEN MULTIPLE DEMONSTRATORS. POLICE INTERVENED AND WERE ATTACKED BY UNIDENTIFIED DEMONSTRATORS, PROMPTING POLICE TO DEPLOY ADDITIONAL PEPPER SPRAY TO DISPERSE THE CROWD. NO ARRESTS WERE MADE DURING THE INCIDENT.",COUNTER-DEMONSTRATION; CROWD SIZE=50 TO 75
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,10,29,2020-10-29,2020,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),GOVERNMENT OF THE UNITED STATES (2017-2021),MILLCREEK,UTAH,0,TRI-CITY HERALD,NATIONAL,NO,"PROPERTY DESTRUCTION: ON 29 OCTOBER 2020, A UTAH DEPARTMENT OF HEALTH BUILDING WAS VANDALIZED WITH A PELLET GUN IN MILLCREEK (UTAH). SEVERAL WINDOWS AND A GLASS DOOR WERE HIT, BREAKING THE GLASS DOOR BUT INJURING NO ONE. IN RECENT DAYS, PROTESTS AGAINST THE STATE'S TOP PUBLIC HEALTH OFFICIAL OVER THE STATE'S MASK MANDATE ENFORCED TO CURB THE SPREAD OF CORONAVIRUS HAVE BEEN REPORTED. THE PELLET GUN INCIDENT DID NOT OCCUR DURING THE PROTESTS.",
RIOTS,VIOLENT DEMONSTRATION,10,28,2020-10-28,2020,RIOTERS (UNITED STATES),,,,SANTA CRUZ,CALIFORNIA,0,KION NEWSCHANNEL 5/46; COUNT LOVE,OTHER-SUBNATIONAL,NO,"ON 28 OCTOBER 2020, ABOUT 30 PEOPLE ORGANIZED BY THE SANTA CRUZ HOMELESS UNION RALLIED OUTSIDE CITY HALL IN SANTA CRUZ (CALIFORNIA) IN SUPPORT OF FUNDING FOR THE UNHOUSED COMMUNITY AND 'FOOD NOT BOMBS.' DEMONSTRATORS ATTEMPTED TO INTERRUPT A ZOOM MEETING WITH NOISE, WHILE THE BUILDING WAS VANDALIZED WITH SHARPIES, AND A WINDOW WAS BROKEN AFTER A DEMONSTRATOR ALLEGEDLY THREW A SKATEBOARD THROUGH IT.",CROWD SIZE=ABOUT 30
RIOTS,VIOLENT DEMONSTRATION,10,28,2020-10-28,2020,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2017-2021),,WASHINGTON DC,DISTRICT OF COLUMBIA,0,WASHINGTON POST,SUBNATIONAL,YES,"ON 28 OCTOBER 2020, ABOUT 125 PEOPLE HELD A VIGIL AND MARCHED IN WASHINGTON DC (DISTRICT OF COLUMBIA) TO DEMAND JUSTICE FOR KARON HYLTON, A BLACK MAN WHO DIED AFTER HIS MOPED CRASHED WHILE BEING PULLED OVER BY POLICE. SOME PEOPLE ATTACKED POLICE VEHICLES AND SMASHED THE FRONT DOOR OF A POLICE STATION, AS WELL AS SHOT OFF FIREWORKS AND THREW OBJECTS AT POLICE. POLICE USED PEPPER SPRAY AND FLASH BANGS IN AN ATTEMPT TO DISPERSE DEMONSTRATORS. SEVERAL OFFICERS WERE INJURED AND SOME DEMONSTRATORS WERE ARRESTED.",CROWD SIZE=ABOUT 125
RIOTS,VIOLENT DEMONSTRATION,10,27,2020-10-27,2020,RIOTERS (UNITED STATES),CIVILIANS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,NEW YORK - BROOKLYN,NEW YORK,0,SPECTRUM NEWS NY1; FOX5 (NEW YORK); CBS2 (NEW YORK),SUBNATIONAL,NO,"ON 27 OCTOBER 2020, ABOUT 200 PEOPLE MARCHED IN NEW YORK - BROOKLYN (NEW YORK) OVER THE DEATH OF WALTER WALLACE JR. IN PHILADELPHIA. THE DEMONSTRATION TURNED VIOLENT AFTER DEMONSTRATORS SMASHED WINDOWS, STARTED FIRES, AND SPRAYED GRAFFITI AROUND DOWNTOWN. 32 PEOPLE WERE ARRESTED. ONE NYPD SPOKESPERSON SAID A CAR ATTEMPTED TO DRIVE THROUGH A GROUP OF COPS AT ONE POINT, CAUSING SOME MINOR INJURIES. SEVERAL VIDEOS POSTED ON SOCIAL MEDIA SHOW THE DRIVER CLEARLY TELLING OFFICERS 'I'M JUST TRYING TO GO HOME' BEFORE OFFICERS LET THE DRIVER CLOSE THE DOOR AND DRIVE AWAY. SECONDS LATER, OFFICERS USED BATONS TO SMASH THE CAR'S WINDOWS AND THAT'S WHEN THE DRIVER DROVE AWAY UNHARMED. 30 POLICE OFFICERS WERE TREATED AT HOSPITALS FOR MINOR INJURIES FROM HAVING ROCKS AND BRICKS THROW AT THEM.",CROWD SIZE=ABOUT 200
RIOTS,VIOLENT DEMONSTRATION,10,27,2020-10-27,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,WASHINGTON DC,DISTRICT OF COLUMBIA,0,BELLINGCAT; WUSA9; TWITTER; CROWD COUNTING CONSORTIUM,OTHER-NEW MEDIA,NO,"ON 27 OCTOBER 2020, DOZENS OF PEOPLE, INCLUDING SUPPORTERS OF THE BLACK LIVES MATTER MOVEMENT, DEMONSTRATED IN WASHINGTON DC (DISTRICT OF COLUMBIA) TO DEMAND POLICE ACCOUNTABILITY FOR THE DEATH OF KARON HYLTON, A BLACK MAN WHO DIED AFTER CRASHING INTO A CAR WHILE DRIVING A MOPED WHEN POLICE TRIED TO PULL HIM OVER. PEOPLE THREW A TRASH CAN THROUGH THE POLICE STATION WINDOW, SET OFF FIREWORKS, SMASHED CAR WINDOWS, AND THREW GLASS BOTTLES AND ROCKS AT THE OFFICERS. POLICE SPRAYED AN IRRITANT AT DEMONSTRATORS IN AN ATTEMPT TO DISPERSE THEM AND FIRED FLASH BANGS AT POINT-BLANK RANGE. FOUR OFFICERS WERE INJURED AND ONE PERSON WAS ARRESTED.",CROWD SIZE=DOZENS
RIOTS,VIOLENT DEMONSTRATION,10,27,2020-10-27,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),CIVILIANS (UNITED STATES); LABOR GROUP (UNITED STATES),PHILADELPHIA,PENNSYLVANIA,0,BELLINGCAT; CBS3 (PHILADELPHIA); CROWD COUNTING CONSORTIUM; NEW YORK TIMES; TWITTER; WASHINGTON EXAMINER; WCAU,OTHER-NEW MEDIA,YES,"ON 27 OCTOBER 2020, ABOUT 500 PEOPLE DEMONSTRATED IN PHILADELPHIA (PENNSYLVANIA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST THE DEATH OF WALTER WALLACE JR., A BLACK MAN WHO WAS KILLED BY POLICE. LATER IN THE EVENING, PEOPLE SET FIRES AND THREW ROCKS, WATER BOTTLES, AND OTHER PROJECTILES AT THE POLICE OFFICERS AND INJURED 30 OFFICERS, INCLUDING ONE WHO WAS HOSPITALIZED WITH A BROKEN LEG AFTER BEING HIT BY A TRUCK. A MAN WITH AN AXE CHARGED AT POLICE AND AXED THE FRONT OF A POLICE CAR. PEOPLE REPORTED POLICE OFFICERS USING FORCE AGAINST JOURNALISTS, SMASHING WINDOWS OF CARS, AND BEATING DEMONSTRATORS WITH BATONS. POLICE REPORTED A CROWD OF APPROXIMATELY 1000 PEOPLE LOOTING A SHOPPING AREA. SOME LOOTERS REPORTEDLY SHOT LIVE ROUNDS AT OTHER LOOTERS, INJURING AT LEAST 11 PEOPLE. NO FATALITIES WERE REPORTED. 81 PEOPLE WERE ARRESTED BY POLICE.",ARMED; CAR RAMMING; CROWD SIZE=AROUND 500-1000
RIOTS,VIOLENT DEMONSTRATION,10,27,2020-10-27,2020,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2017-2021),CIVILIANS (UNITED STATES),RICHMOND,VIRGINIA,0,RICHMOND TIMES-DISPATCH,SUBNATIONAL,NO,"ON 27 OCTOBER 2020, PEOPLE MARCHED IN RICHMOND (VIRGINIA) AGAINST THE DEATH OF WALTER WALLACE JR., A BLACK MAN RECENTLY KILLED BY POLICE. DEMONSTRATORS THREW OBJECTS AT A POLICE VEHICLE AND CIVILIANS, AND A DEMONSTRATOR WAS ASSAULTED BY A POLICE OFFICER. ONE DEMONSTRATOR WAS ARRESTED.",CROWD SIZE=NO REPORT
RIOTS,MOB VIOLENCE,10,27,2020-10-27,2020,RIOTERS (UNITED STATES),CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,LOS ANGELES - CENTRAL,CALIFORNIA,0,ABC7 (LOS ANGELES); USA TODAY,SUBNATIONAL-NATIONAL,YES,"ON 27 OCTOBER 2020, HUNDREDS OF DODGERS FANS RALLIED IN LOS ANGELES - CENTRAL (CALIFORNIA) IN CELEBRATION OF THE BASEBALL TEAM'S WORLD SERIES VICTORY. PEOPLE TURNED VIOLENT WHEN A DUMPSTER WAS SET ON FIRE, VARIOUS STOREFRONT WINDOWS WERE BROKEN, AND SHOPS WERE LOOTED. AT LEAST FOUR STORES WERE VANDALIZED. AT ONE POINT PEOPLE SURROUNDED A SEMI-TRUCK, OPENED THE TRAILER DOOR AND BEGAN STEALING PACKAGES WHILE OTHERS ATTEMPTED TO ENTER THE CAB. THE LOS ANGELES POLICE DEPARTMENT RESPONDED BY DEPLOYING ITS RIOT TEAM THAT MARCHED THROUGH THE STREETS AND FIRED STUN GRENADES. IN ECHO PARK, OFFICERS ALLEGEDLY AIMED WEAPONS AT A SMALL GROUP OF 'PRESS AND COMMUNITY MEMBERS.' OFFICERS USED NON-LETHAL ROUNDS ON DEMONSTRATORS. AT LEAST ONE PRESS MEMBER WAS HIT BY A 'LESS LETHAL' ROUND. OFFICERS ALLEGE THAT PEOPLE THREW BOTTLES AT THEM. AT LEAST THREE OFFICERS SUSTAINED INJURIES AND ONE POLICE VEHICLE WAS DAMAGED.",CROWD SIZE=HUNDREDS
RIOTS,VIOLENT DEMONSTRATION,10,26,2020-10-26,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; CIVILIANS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,PHILADELPHIA,PENNSYLVANIA,0,CBS3 (PHILADELPHIA); FOX29,SUBNATIONAL,NO,"ON 26 OCTOBER 2020, ABOUT 300 PEOPLE MARCHED IN PHILADELPHIA (PENNSYLVANIA) IN REACTION TO POLICE HAVING SHOT AND KILLED A BLACK MAN WHO HAD A KNIFE, WALTER WALLACE JR., HOURS EARLIER. DEMONSTRATORS SET A POLICE CAR AND DUMPSTERS ON FIRE, THREW PROJECTILES AT OFFICERS, AND SMASHED WINDOWS AT A POLICE STATION. OVER 30 PEOPLE WERE ARRESTED FOR LOOTING, RIOTING, AND ASSAULTING OFFICERS. THIRTY OFFICERS WERE INJURED DURING THE DEMONSTRATION, INCLUDING ONE WHO WAS STRUCK BY A CAR. ONE WOMAN WHO WAS NOT PARTICIPATING IN THE DEMONSTRATION WAS ASSAULTED BY A POLICE OFFICER ALONGSIDE HER SON AND NEPHEW WHEN SHE DROVE TOWARD THE DEMONSTRATION AND WAS SWARMED BY POLICE AFTER SHE ATTEMPTED TO TURN AROUND. POLICE STRUCK HER REPEATEDLY AND SHE WAS HOSPITALIZED FOR HER INJURIES. ONE OFFICER WAS LATER FIRED AND CHARGED WITH ASSAULT. DOZENS OF PEOPLE WERE ARRESTED.",CROWD SIZE=ABOUT 300
RIOTS,VIOLENT DEMONSTRATION,10,25,2020-10-25,2020,RIOTERS (UNITED STATES),,RIOTERS (UNITED STATES),,NEW YORK - MANHATTAN,NEW YORK,0,PIX11,SUBNATIONAL,NO,"ON 25 OCTOBER 2020, PRO-TRUMP DEMONSTRATORS GATHERED IN TIMES SQUARE NEW YORK - MANHATTAN (NEW YORK) AND CLASHED WITH COUNTER-DEMONSTRATORS RESULTING IN 9 ARRESTS AND ONE PERSON TAKEN TO THE HOSPITAL. DEMONSTRATORS PUNCHED EACH OTHER, THREW PAINT ON CARS, AND SPRAYED PEPPER SPRAY.",COUNTER-DEMONSTRATION; CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,10,25,2020-10-25,2020,RIOTERS (UNITED STATES),QANON,CIVILIANS (UNITED STATES),LABOR GROUP (UNITED STATES); WOMEN (UNITED STATES),BOCA RATON,FLORIDA,0,SOUTH FLORIDA SUN SENTINEL,SUBNATIONAL,NO,"ON 25 OCTOBER 2020, A GROUP OF PEOPLE, INCLUDING SEVERAL WITH MAGA AND QANON FLAGS, GATHERED OUTSIDE OF A POLLING PLACE IN WEST BOCA RATON (FLORIDA) TO SHOW SUPPORT FOR PRESIDENT TRUMP'S RE-ELECTION CAMPAIGN. THE GROUP ALLEGEDLY BLOCKED ACCESS TO THE POLLING PLACE WITH THEIR VEHICLES, INTERFERED WITH TRAFFIC BY STANDING IN THE STREETS, AND 'HARASSED' VOTERS AND POLL WORKERS, CALLING THE VOTING PRECINCT SUPERVISOR A RACIAL SLUR AND STRIKING HER FOREHEAD WITH AN UMBRELLA, CAUSING MINOR INJURIES.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,10,24,2020-10-24,2020,RIOTERS (UNITED STATES),LATIN AMERICAN GROUP (UNITED STATES); MIKE RAMOS BRIGADE,CIVILIANS (UNITED STATES),JOURNALISTS (UNITED STATES),AUSTIN,TEXAS,0,FOX7 (AUSTIN); KXAN,SUBNATIONAL,NO,"ON 24 OCTOBER 2020, PEOPLE DEMONSTRATED IN AUSTIN (TEXAS) AGAINST POLICE BRUTALITY AND THE DEATH OF MIKE RAMOS. THE DEMONSTRATION TURNED VIOLENT WHEN A GROUP ASSOCIATED WITH THE MIKE RAMOS BRIGADE ATTACKED A JOURNALIST BECAUSE OF THE JOURNALIST'S REFUSAL TO BLUR THE FACES OF PARTICIPANTS IN PREVIOUS DEMONSTRATIONS. THE ATTACKING RIOTERS EXPRESSED CONCERN THAT THE JOURNALIST'S FOOTAGE WOULD BE USED TO IDENTIFY PARTICIPANTS AND CONDUCT 'UNFAIR ARRESTS.' THE JOURNALIST WAS THE ONLY PERSON TO SUSTAIN INJURIES AND HAD AN EVALUATION FOR A CONCUSSION.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,10,23,2020-10-23,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,WALNUT CREEK,CALIFORNIA,0,MERCURY NEWS; EAST BAY TIMES; KPIX5,SUBNATIONAL,NO,"ON 23 OCTOBER 2020, 20 TO 25 PEOPLE MARCHED IN WALNUT CREEK (CALIFORNIA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT. THEY SURROUNDED AN SUV AND ALLEGEDLY ATTEMPTED TO INTIMIDATE PEOPLE INSIDE. TWO TO THREE DEMONSTRATORS ALLEGEDLY TRIED TO OPEN THE DRIVER'S DOOR WHILE OTHERS YELLED AND KICKED THE CAR. POLICE OFFICERS WERE ON SCENE AND, AFTER SOME DEMONSTRATORS ALLEGEDLY WALKED TOWARDS THEM DESPITE WARNINGS, DEPLOYED TWO NON-LETHAL FOAM BATONS. ONE DEMONSTRATOR WAS HIT BY ONE OF THE ROUNDS. HE WAS LATER ARRESTED BY THE POLICE FOR 'SUSPICION OF FALSE IMPRISONMENT AND OF OBSTRUCTING AN OFFICER, RESISTING ARREST AND SUSPICION OF CRIMINAL ACTIVITY.' OFFICERS SAY THEY RECOGNIZED THE MAN AS AN 'AGITATOR AND COUNTER-PROTESTER' AT AN EARLIER RALLY SUPPORTING PRESIDENT TRUMP.",CROWD SIZE=20 TO 25
PROTESTS,EXCESSIVE FORCE AGAINST PROTESTERS,10,21,2020-10-21,2020,PROTESTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2017-2021),,COMMACK,NEW YORK,0,CROWD COUNTING CONSORTIUM; TWITTER,OTHER-NEW MEDIA,NO,"ON 21 OCTOBER 2020, PEOPLE, ORGANIZED BY LONG ISLAND PEACEFUL PROTEST HELD A DEMONSTRATION IN COMMACK (NEW YORK) AGAINST RACIAL INEQUALITY. AFTER ORDERING THE PROTESTERS TO MOVE FROM THE ROADSIDE TO THE SIDEWALK ACROSS THE STREET, THE POLICE INTERVENED AND ARRESTED THREE PROTESTERS INCLUDING THE ORGANIZER. THOSE ARRESTED ALSO SUSTAINED INJURIES, INCLUDING CONCUSSIONS.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,10,21,2020-10-21,2020,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2017-2021),,PROVIDENCE,RHODE ISLAND,0,CROWD COUNTING CONSORTIUM; FOX PROVIDENCE,OTHER-SUBNATIONAL,NO,"ON 21 OCTOBER 2020, RIOTERS SMASHED WINDOWS AND POPPED TIRES OF POLICE CARS IN PROVIDENCE (RHODE ISLAND), DEMANDING JUSTICE FOR AN INDIVIDUAL WHO WAS HIT AND SERIOUSLY INJURED BY A POLICE OFFICER WHILE ON A MOPED. 8 PEOPLE WERE ARRESTED.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,10,20,2020-10-20,2020,RIOTERS (UNITED STATES),PSL: PARTY FOR SOCIALISM AND LIBERATION,POLICE FORCES OF THE UNITED STATES (2017-2021),,PROVIDENCE,RHODE ISLAND,0,CROWD COUNTING CONSORTIUM; FOX PROVIDENCE,OTHER-SUBNATIONAL,NO,"ON 20 OCTOBER 2020, HUNDREDS OF PEOPLE GATHERED FOR A RALLY ORGANIZED BY THE PARTY FOR SOCIALISM AND LIBERATION IN PROVIDENCE (RHODE ISLAND) DEMANDING JUSTICE FOR AN INDIVIDUAL WHO WAS HIT AND SERIOUSLY INJURED BY A POLICE OFFICER WHILE ON A MOPED. DEMONSTRATORS LATER SET OFF FIREWORKS INJURING A POLICE OFFICER AND 21 PEOPLE WERE ARRESTED.",CROWD SIZE=HUNDREDS
RIOTS,VIOLENT DEMONSTRATION,10,19,2020-10-19,2020,RIOTERS (UNITED STATES),,,,PORTLAND - SOUTHEAST,OREGON,0,TWITTER; KATU,NEW MEDIA-SUBNATIONAL,NO,"ON 19 OCTOBER 2020, UNIDENTIFIED PEOPLE TOPPLED A STATUE OF HARVEY SCOTT AT THE TOP OF THE MT. TABOR NEIGHBORHOOD IN PORTLAND - SOUTHEAST (OREGON) AND AN ARM WAS BROKEN OFF. SCOTT WAS A PROMINENT PORTLAND FIGURE AND ADVOCATED FOR THE CHINESE EXCLUSION ACT.",CROWD SIZE=NO REPORT; STATUE
RIOTS,VIOLENT DEMONSTRATION,10,17,2020-10-17,2020,RIOTERS (UNITED STATES),STUDENTS (UNITED STATES),,,EVANSTON,ILLINOIS,0,CHICAGO TRIBUNE,SUBNATIONAL,NO,"ON 17 OCTOBER 2020, 300 STUDENTS OF NORTHWESTERN UNIVERSITY AND LED BY NORTHWESTERN UNIVERSITY COMMUNITY NOT COPS, GATHERED IN FRONT OF FOSTER-WALKER COMPLEX BEFORE MARCHING TO THE HOUSE OF THE UNIVERSITY PRESIDENT IN EVANSTON (ILLINOIS) DEMANDING THAT THE SCHOOL CUT TIES WITH THE CAMPUS POLICE DEPARTMENT. SOME FROM THE GROUP ALSO SPRAY-PAINTED LOCAL BUSINESSES, SMASHED A GROCERY STORE WINDOW AND PLACED A BURNED SCHOOL BANNER OUTSIDE OF THE UNIVERSITY PRESIDENT'S HOME.",CROWD SIZE=300
RIOTS,VIOLENT DEMONSTRATION,10,17,2020-10-17,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; UNIDENTIFIED COMMUNAL MILITIA (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,PHOENIX,ARIZONA,0,MILITIAWATCH; ARIZONA CENTRAL,LOCAL PARTNER-NEW MEDIA,NO,"ON 17 OCTOBER 2020, AT LEAST 20 PEOPLE DEMONSTRATED IN PHOENIX (ARIZONA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT. A COUNTER-DEMONSTRATION WAS ALSO HELD WITH UNIDENTIFIED MILITIA MEMBERS AMONG THOSE PRESENT. DEMONSTRATORS KNOCKED BARRICADES INTO THE ROAD AND THREW SMOKE BOMBS AT POLICE. FIFTEEN ADULTS AND THREE TEENAGERS WERE ARRESTED. ACCORDING TO A BODYCAM FOOTAGE RELEASED LATER, THREE PHOENIX POLICE OFFICERS IN A SQUAD CAR MADE DISPARAGING COMMENTS AGAINST PROTESTERS, INCLUDING 'GAS 'EM!' AND 'WHY DIDN'T WE JUST STOMP ON THEM WHEN THEY WERE LEAVING?' AMONG OTHERS.",COUNTER-DEMONSTRATION; CROWD SIZE=AT LEAST 20
